"Reference","Qty","Value / Part","Footprint class","Status"
"DBAT_TEMP","1","BAT54S / DUAL SCHOTTKY","triple","VERIFY PHYSICAL FOOTPRINT"
"DBAT_TPS","1","BAT54S TPS","triple","VERIFY PHYSICAL FOOTPRINT"
"DBAT_TREF","1","BAT54S TPS REF","triple","VERIFY PHYSICAL FOOTPRINT"
"DBAT_PICK","1","BAT54S PICKUP","triple","VERIFY PHYSICAL FOOTPRINT"
"DBAT_HVC","1","BAT54S HV CENTER","triple","VERIFY PHYSICAL FOOTPRINT"
"DBAT_HVS","1","BAT54S HV SIDE","triple","VERIFY PHYSICAL FOOTPRINT"
"U5","1","TC4427A DIP8","dip","VERIFY PHYSICAL FOOTPRINT"
"QHV1","1","IRF3205","triple","VERIFY PHYSICAL FOOTPRINT"
"QHV2","1","IRF3205","triple","VERIFY PHYSICAL FOOTPRINT"
"RSENSE","1","0.05R 5W","axial","VERIFY PHYSICAL FOOTPRINT"
"DTVS1","1","1.5KE33A","axial","VERIFY PHYSICAL FOOTPRINT"
"DTVS2","1","1.5KE33A","axial","VERIFY PHYSICAL FOOTPRINT"
"T1","1","EE35 UNIVERSAL GRID 2.54mm","transformer_ee35","LOCKED TO USER 2.54mm GRID"
"DREC1","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"DREC2","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"DREC3","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"DREC4","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"DCH_C","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"DCH_S","1","UF4007","axial","VERIFY PHYSICAL FOOTPRINT"
"C_CENTER","1","1uF 630V MKP 9x4 HOLE","hv_cap_9x4","LOCKED TO USER 2.54mm GRID"
"C_SIDE","1","1uF 630V MKP 9x4 HOLE","hv_cap_9x4","LOCKED TO USER 2.54mm GRID"
"SCR1","1","BT151-800R","triple","VERIFY PHYSICAL FOOTPRINT"
"SCR2","1","BT151-800R","triple","VERIFY PHYSICAL FOOTPRINT"
"QNC","1","BC547B","triple","VERIFY PHYSICAL FOOTPRINT"
"QPC","1","BC557B","triple","VERIFY PHYSICAL FOOTPRINT"
"QNS","1","BC547B","triple","VERIFY PHYSICAL FOOTPRINT"
"QPS","1","BC557B","triple","VERIFY PHYSICAL FOOTPRINT"
"RVB1","1","100k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVB2","1","22k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVB3","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RT1","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RT2","1","15k","axial","VERIFY PHYSICAL FOOTPRINT"
"RT3","1","27k","axial","VERIFY PHYSICAL FOOTPRINT"
"RT4","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS0","1","100R","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS1","1","15k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS2","1","27k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS3","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS4","1","15k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS5","1","27k","axial","VERIFY PHYSICAL FOOTPRINT"
"RTPS6","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPICK1","1","39k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RPICK2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPICK3","1","10M","axial","VERIFY PHYSICAL FOOTPRINT"
"RPICK4","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPICK5","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVM1","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVM2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVZ1","1","15k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVZ2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMC1","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMC2","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMC3","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMC4","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMS1","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMS2","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMS3","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMS4","1","12k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMC5","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"ROEMS5","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RFAN1","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RFAN2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RSTR1","1","100R","axial","VERIFY PHYSICAL FOOTPRINT"
"RSTR2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"CBAT","1","10nF","axial","VERIFY PHYSICAL FOOTPRINT"
"CTEMP","1","10nF","axial","VERIFY PHYSICAL FOOTPRINT"
"CTPSS","1","4.7nF","axial","VERIFY PHYSICAL FOOTPRINT"
"CTPSR","1","4.7nF","axial","VERIFY PHYSICAL FOOTPRINT"
"CU2","1","100nF","axial","VERIFY PHYSICAL FOOTPRINT"
"RPWMA","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPWMB","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGA","1","10R","axial","VERIFY PHYSICAL FOOTPRINT"
"RGB","1","10R","axial","VERIFY PHYSICAL FOOTPRINT"
"RGPD1","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGPD2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPWMPDA","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RPWMPDB","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"CTC1","1","100nF","axial","VERIFY PHYSICAL FOOTPRINT"
"CTC2","1","10uF 25V","axial","VERIFY PHYSICAL FOOTPRINT"
"RI1","1","120k","axial","VERIFY PHYSICAL FOOTPRINT"
"RI2","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RIS","1","100R","axial","VERIFY PHYSICAL FOOTPRINT"
"RVOV1","1","120k","axial","VERIFY PHYSICAL FOOTPRINT"
"RVOV2","1","100k","axial","VERIFY PHYSICAL FOOTPRINT"
"CVOV","1","10nF","axial","VERIFY PHYSICAL FOOTPRINT"
"RFAULT","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"DCLA","1","1N4148","axial","VERIFY PHYSICAL FOOTPRINT"
"DCLB","1","1N4148","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVP1","1","100k","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVP2","1","27k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC1","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC2","1","2.2k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC3","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC4","1","330R","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC5","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGC6","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS1","1","4.7k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS2","1","2.2k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS3","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS4","1","330R","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS5","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"RGS6","1","10k","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC1","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC2","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC3","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC4","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC5","1","8.2k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVC6","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"CFBC","1","10nF","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS1","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS2","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS3","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS4","1","270k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS5","1","8.2k 1%","axial","VERIFY PHYSICAL FOOTPRINT"
"RHVS6","1","1k","axial","VERIFY PHYSICAL FOOTPRINT"
"CFBS","1","10nF","axial","VERIFY PHYSICAL FOOTPRINT"
"RBC1","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBC2","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBC3","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBC4","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBS1","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBS2","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBS3","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
"RBS4","1","470k 0.5W","axial","VERIFY PHYSICAL FOOTPRINT"
